nome,preco,loja,url,categoria
"Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i7-13620h 16gb 512gb SSD WINDOWS 11 15.3"" - 83ns0000br Luna Grey",6114.6,Kabum,https://www.kabum.com.br/produto/881638/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i7-13620h-16gb-512gb-ssd-windows-11-15-3-83ns0000br-luna-grey,notebook
"Notebook Lenovo Ideapad 1 15amn7 Amd Ryzen 5 7520u 8GB 512gb SSD WINDOWS 11 Home 15."" - 82x5000pbr",3519.12,Kabum,https://www.kabum.com.br/produto/1058797/notebook-lenovo-ideapad-1-15amn7-amd-ryzen-5-7520u-8gb-512gb-ssd-windows-11-home-15-82x5000pbr,notebook
"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 5825u 8GB Ram 512 Gb SSD WINDOWS 11 Home 15,6"" Lcd LED Fhd Nível Ips Cool Silver Bq966w",3994.15,Kabum,https://www.kabum.com.br/produto/1031363/notebook-asus-vivobook-15-m1502ya-amd-ryzen-7-5825u-8gb-ram-512-gb-ssd-windows-11-home-15-6-lcd-led-fhd-nivel-ips-cool-silver-bq966w,notebook
"Notebook Gamer Predator Helios Neo 16, Intel Core Ultra 7 255HX, 32GB RAM, SSD 512GB, RTX 5070, Tela 16"" WQXGA 240Hz, Windows 11 Home - PHN16-73-76H8",12599.1,Kabum,https://www.kabum.com.br/produto/1020648/notebook-gamer-predator-helios-neo-phn16-73-76h8-intel-core-ultra-7-255hx-32gb-ram-512gb-ssd-rtx5070-w11-home-16-,notebook
"Notebook Acer AG15-71P-71YM CI713620H, 16GB, 512GB SSD, WNHPSL64, 15.6"" FHD, Windows 11, Cinza - NX.JF6AL.009",6840.0,Kabum,https://www.kabum.com.br/produto/904903/notebook-acer-ag15-71p-71ym-ci713620h-16gb-512gb-ssd-wnhpsl64-15-6-fhd-windows-11-cinza-nx-jf6al-009,notebook
"Notebook Dell 15 I Dc15-i71355u-m90 15.6"" Full Hd 13ª Gen Intel Core i7 16gb 512gb SSD Win 11 Preto Carbono",7253.1,Kabum,https://www.kabum.com.br/produto/1043070/notebook-dell-15-i-dc15-i71355u-m90-15-6-full-hd-13-gen-intel-core-i7-16gb-512gb-ssd-win-11-preto-carbono,notebook
"Notebook HP 256R G9, Intel Core i3 1315U, 8GB RAM, 256GB, 15.6 Polegadas, Windows 11, Intel UHD Graphics - BQ9K8AT#AK4",3284.1,Kabum,https://www.kabum.com.br/produto/873586/notebook-hp-256r-g9-intel-core-i3-1315u-8gb-ram-256gb-15-6-polegadas-windows-11-intel-uhd-graphics-bq9k8at-ak4,notebook
"Notebook Asus Vivobook Go 15, AMD Athlon Silver 7120U, 4GB RAM, SSD 128GB, 15.6"" IPS FHD, Windows 11 Home, Mixed Black",2699.1,Kabum,https://www.kabum.com.br/produto/1043050/notebook-asus-vivobook-go-15-amd-athlon-silver-7120u-4gb-ram-ssd-128gb-15-6-ips-fhd-windows-11-home-mixed-black,notebook
Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb SSD WINDOWS 11 Home Tela 16” Ips Fhd Silver - Mb763w,5382.39,Kabum,https://www.kabum.com.br/produto/627471/notebook-asus-vivobook-16-x1605va-intel-core-i7-1355u-16gb-ram-512gb-ssd-windows-11-home-tela-16-ips-fhd-silver-mb763w,notebook
Notebook Gamer Lenovo Loq 15irx9 Intel Core i5-14500hx 16gb 1TB SSD RTX 3050 WINDOWS 11 Home - 83kh000sbr,7911.01,Kabum,https://www.kabum.com.br/produto/1062358/notebook-gamer-lenovo-loq-15irx9-intel-core-i5-14500hx-16gb-1tb-ssd-rtx-3050-windows-11-home-83kh000sbr,notebook
"Notebook Gamer Acer Nitro V15, Intel Core i5-13420H 13ª Geração, 16GB RAM, SSD 512GB, RTX 4060, Tela 15.6"" Full HD 165Hz, Linux - ANV15-52-52VN",8279.1,Kabum,https://www.kabum.com.br/produto/912257/notebook-gamer-acer-nitro-v15-anv15-52-52vn-intel-core-i5-13420h-13-g-512-gb-ssd-16-gb-ram-rtx-4060-15-6-,notebook
"Notebook Asus Gamer V16 Rp213 RTX 5050 Core 5 8GB Ram 512gb SSD Linux 16"" Lcd LED Fhd 144hz Nível Ips",6119.15,Kabum,https://www.kabum.com.br/produto/1056505/notebook-asus-gamer-v16-rp213-rtx-5050-core-5-8gb-ram-512gb-ssd-linux-16-lcd-led-fhd-144hz-nivel-ips,notebook
