nome,url,preco_texto,categoria,loja
Caderno de Disco Femmina Grande (200×275 mm) com 80 Folhas Pautadas Gramatura 90g Spiral Fem - PT 1 UN,https://www.kalunga.com.br/prod/caderno-de-disco-femmina-grande-200275-mm-com-80-folhas-pautadas-gramatura-90g-spiral-fem-pt-1-un/010272,"R$ 99,90",notebook,kalunga
"Suporte para monitor com porta Smartphone, Preto, 10090012, Maxcril - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-monitor-com-porta-smartphone-preto-10090012-maxcril-cx-1-un/665416,"R$ 64,90",notebook,kalunga
"Mochila para notebook até 15 polegadas, Poliéster, Rosa Pastel, Baohua - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-ate-15-polegadas-poliester-rosa-pastel-baohua-pt-1-un/773605,"R$ 179,90",notebook,kalunga
"Mochila para Notebook até 15 em poliéster, Preta, TSB968, Targus - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-ate-15-em-poliester-preta-tsb968-targus-pt-1-un/441188,"R$ 306,40",notebook,kalunga
"Fonte de alimentação para notebook Asus, bivolt, 90w, BB24-ASUS, BestBattery - CX 1 UN",https://www.kalunga.com.br/prod/fonte-de-alimentacao-para-notebook-asus-bivolt-90w-bb24-asus-bestbattery-cx-1-un/281570,"R$ 129,90",notebook,kalunga
Maleta para notebook 15.6 vnai215 preto 3201492 Case Logic - PT 1 UN,https://www.kalunga.com.br/prod/maleta-para-notebook-15-6-vnai215-preto-3201492-case-logic-pt-1-un/441187,"R$ 258,90",notebook,kalunga
"Suporte para monitor com 3 gavetas, preto e branco, Souza & Cia - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-monitor-com-3-gavetas-preto-e-branco-souza-cia-cx-1-un/665435,"R$ 111,60",notebook,kalunga
"Maleta p/notebook de até 14, Slipskin, TSS932, Targus -  UN 1 UN",https://www.kalunga.com.br/prod/maleta-paranotebook-de-ate-14-slipskin-tss932-targus-un-1-un/440398,"R$ 99,90",notebook,kalunga
"Notebook Lenovo IdeaPad Slim 3 AMD Ryzen 5 7535HS, 8GB, AMD Radeon Graphics, SSD 512GB, 15.3"" WUXGA 1920x1200, Linux - 83MMS00300",https://www.kabum.com.br/produto/1037468/notebook-lenovo-ideapad-slim-3-amd-ryzen-5-7535hs-8gb-amd-radeon-graphics-ssd-512gb-15-3-wuxga-1920x1200-linux-83mms00300,4703.04,notebook,Kabum
"Notebook Gamer Dell Alienware 15, Intel Core i5, 8GB RAM, SSD 512GB, 15.3"" WUXGA, NVIDIA GeForce RTX 4050, Windows 11, Preto - DA15-C5210H-A30",https://www.kabum.com.br/produto/1066088/notebook-gamer-dell-alienware-15-intel-core-i5-8gb-ram-ssd-512gb-15-3-wuxga-nvidia-geforce-rtx-4050-windows-11-preto-da15-c5210h-a30,9690.17,notebook,Kabum
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb SSD Linux Keepos Tela 15,6"" LED Fhd Black - Nj1288",https://www.kabum.com.br/produto/649861/notebook-asus-vivobook-go-15-e1504fa-amd-ryzen-5-7520u-16gb-ram-512gb-ssd-linux-keepos-tela-15-6-led-fhd-black-nj1288,3998.83,notebook,Kabum
"Notebook Gamer Lenovo LOQ 15IRX9, 15.6"" Full HD 144Hz, Intel Core i5-13450HX, 16GB, 512GB SSD, NVIDIA RTX 4050, Linux - 83KHS00300",https://www.kabum.com.br/produto/1003399/notebook-gamer-lenovo-loq-15irx9-15-6-full-hd-144hz-intel-core-i5-13450hx-16gb-512gb-ssd-nvidia-rtx-4050-linux-83khs00300,7873.32,notebook,Kabum
"Notebook Acer Aspire 5 A515-45-R478, AMD Ryzen 5-5500U, 16GB RAM, 512GB SSD, 15.6"" FHD LED, IPS, 60Hz, Linux Gutta - NX.AYDAL.00R",https://www.kabum.com.br/produto/952233/notebook-acer-aspire-5-a515-45-r478-amd-ryzen-5-5500u-16gb-ram-512gb-ssd-15-6-fhd-led-ips-60hz-linux-gutta-nx-aydal-00r,5745.6,notebook,Kabum
"Notebook Gamer Acer Nitro V15, AMD Ryzen 7 7735HS, 8GB RAM, SSD 512GB, RTX 4050, Tela 15.6"" Full HD IPS 165Hz, Linux - ANV15-41-R6J0",https://www.kabum.com.br/produto/1048035/notebook-gamer-acer-nitro-v15-anv15-41-r6j0-amd-ryzen-7-7735hs-8gb-ram-512gb-ssd-rtx-4050-linux-15-6-,7199.1,notebook,Kabum
"Notebook Gamer Lenovo Loq 15irx9 Intel Core i5-13450hx 16gb 512gb SSD RTX 3050 Linux 15.6"" - 83khs00200 Luna Grey",https://www.kabum.com.br/produto/1015415/notebook-gamer-lenovo-loq-15irx9-intel-core-i5-13450hx-16gb-512gb-ssd-rtx-3050-linux-15-6-83khs00200-luna-grey,6922.01,notebook,Kabum
"Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 8GB 512gb SSD Linux 15.3"" - 83nss00000 Luna Grey",https://www.kabum.com.br/produto/895426/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-8gb-512gb-ssd-linux-15-3-83nss00000-luna-grey,4350.61,notebook,Kabum
"Notebook Dell 15 Dc15-i51334u-u50 15.6"" Full Hd 13ª Gen Intel Core i5 8GB 512gb SSD Linux Preto Carbono",https://www.kabum.com.br/produto/1028019/notebook-dell-15-dc15-i51334u-u50-15-6-full-hd-13-gen-intel-core-i5-8gb-512gb-ssd-linux-preto-carbono,4803.42,notebook,Kabum
"Notebook Lenovo Ideapad Slim 3 15arp10 Amd Ryzen 7 7735hs 24GB 512gb SSD  WINDOWS 11 15.3"" - 83mm0003bo Luna Grey",https://www.kabum.com.br/produto/953557/notebook-lenovo-ideapad-slim-3-15arp10-amd-ryzen-7-7735hs-8gb-512gb-ssd-windows-11-15-3-83mm0003bo-luna-grey,5560.38,notebook,Kabum
"Notebook Lenovo Ideapad 1 Amd Ryzen 5 7520u 8GB 512gb SSD Linux 15"" - 82x5s00700",https://www.kabum.com.br/produto/1058801/notebook-lenovo-ideapad-1-amd-ryzen-5-7520u-8gb-512gb-ssd-linux-15-82x5s00700,3757.21,notebook,Kabum
"Notebook Gamer Acer Nitro V15, Intel Core i9-13900H 13ª Geração, 16GB RAM, SSD 512GB, RTX 4060, Tela 15.6"" Full HD, Windows 11 Home - ANV15-52-96AQ",https://www.kabum.com.br/produto/892575/notebook-acer-nitro-v15-intel-core-i9-13900h-de-13-g-16gb-ssd-512gb-rtx4060-tela-15-6-full-hd-windows-11-home-anv15-52-96aq,9499.05,notebook,Kabum
"Notebook Gamer Lenovo LOQ, i5-12450HX, 16GB DDR5, 1TB SSD, RTX 4050 6GB, 15.6"" FHD, W11, Cinza - 83ME0001BR",https://www.kabum.com.br/produto/910589/notebook-gamer-lenovo-loq-i5-12450hx-16gb-ddr5-1tb-ssd-rtx-4050-6gb-15-6-fhd-w11-cinza-83me0001br,8318.83,notebook,Kabum
"Notebook Gamer Predator Helios Neo 16 AI, Intel Core Ultra 7 255HX, 16GB RAM, SSD 512GB, RTX 5070, Tela 16"" WQXGA, Windows 11 Home - PHN16-73-76TF",https://www.kabum.com.br/produto/989341/notebook-gamer-predator-helios-neo-16-ai-intel-core-ultra-7-255hx-16gb-ram-rtx-5070-8gb-ssd-512gb-tela-16-windows-11-home,12349.05,notebook,Kabum
"Notebook Lenovo IdeaPad Slim 3i, Core I5 13420H, 8GB RAM, 512GB, Tela 15.3"" FHD, Win11 - 83NS0002BR",https://www.kabum.com.br/produto/876251/notebook-lenovo-ideapad-slim-3i-core-i5-13420h-8gb-ram-512gb-tela-15-3-fhd-win11-83ns0002br,4999,notebook,Kabum
"Notebook Acer Aspire Go 15  AG15-71P-76A7 intel core I7 13º Geração 32GB RAM, 512GB SSD, FULL HD LED TN UHD, Linux - NX.JH6AL.009",https://www.kabum.com.br/produto/1052552/notebook-acer-aspire-go-15-ag15-71p-76a7-intel-core-i7-13-geracao-32gb-ram-512gb-ssd-full-hd-led-tn-uhd-linux-nx-jh6al-009,6990,notebook,Kabum
"Notebook Asus Gamer V16 Rp213 RTX 5050 Core 5 8GB Ram 512gb SSD Linux 16"" Lcd LED Fhd 144hz Nível Ips",https://www.kabum.com.br/produto/1056505/notebook-asus-gamer-v16-rp213-rtx-5050-core-5-8gb-ram-512gb-ssd-linux-16-lcd-led-fhd-144hz-nivel-ips,6374.15,notebook,Kabum
"Notebook Acer Aspire Go 15 AG15-71P-753G, Intel Core i7-13620H, 8GB RAM, SSD 256GB, 15.6"" Full HD, Linux, Verde escuro - NX.JH6AL.008",https://www.kabum.com.br/produto/1033627/notebook-acer-aspire-go-15-ag15-71p-753g-intel-core-i7-13620h-8gb-ram-ssd-256gb-15-6-full-hd-linux-verde-escuro-nx-jh6al-008,5999.99,notebook,Kabum
"Notebook Samsung Galaxy Book4, Intel Core I5, 8GB, SSD 512, Tela 15.6"" Full HD LED, Windows 11 Home, Grafite",https://www.kabum.com.br/produto/586397/notebook-samsung-galaxy-book4-intel-core-i5-8gb-ssd-512-tela-15-6-full-hd-led-windows-11-home-grafite,4179.05,notebook,Kabum
"Notebook Asus Vivobook 15 X1504va Intel Core i5 1334u, 8GB RAM, SSD 512GB, Intel Iris Xe, Tela 15.6"" FHD, Windows 11, Silver - Nj1740w.",https://www.kabum.com.br/produto/776251/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-512gb-ssd-intel-iris-xe-windows-11-tela-15-6-fhd-silver-nj1740w,4178.9,notebook,Kabum
"Notebook Acer Aspire Go 15 AG15-51P-564V, Intel Core i5-1334U, 16GB RAM, Intel Iris Xe, SSD 512GB, 15.6"" FHD, Win 11, Azul - NX.JGFAL.006",https://www.kabum.com.br/produto/1066358/notebook-acer-aspire-go-15-ag15-51p-564v-intel-core-i5-1334u-16gb-ram-intel-iris-xe-ssd-512gb-15-6-fhd-win-11-azul-nx-jgfal-006,5999,notebook,Kabum
"Notebook Gamer Predator Helios Neo 16 AI, Intel Core Ultra 9 275HX, 32GB RAM, SSD 1TB, RTX 5070, Tela 16"" WQXGA 240Hz, Windows 11 Home - PHN16-73-96SW",https://www.kabum.com.br/produto/996095/notebook-gamer-predator-helios-neo-16-ai-phn16-73-96sw-intel-core-ultra-9-275hx-32gb-ram-1tb-ssd-rtx-5070-16-,14399.1,notebook,Kabum
"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 5825u 8GB Ram 512 Gb SSD WINDOWS 11 Home 15,6"" Lcd LED Fhd Nível Ips Cool Silver Bq966w",https://www.kabum.com.br/produto/1031363/notebook-asus-vivobook-15-m1502ya-amd-ryzen-7-5825u-8gb-ram-512-gb-ssd-windows-11-home-15-6-lcd-led-fhd-nivel-ips-cool-silver-bq966w,4249.15,notebook,Kabum
